Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;0,43;0,71;0,69;0,64;0,61;0,58;0,54;0,51;0,5;0,48;0,46;0,45;0,45;0,44;0,42;0,41;0,41;0,4;0,39;100
525,57;44;0,01;0,1;0,18;0,24;0,3;0,34;0,39;0,42;0,47;0,51;0,54;0,57;0,63;0,67;0,69;0,73;0,76;0,79;0,8;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;0,57;0,76;0,73;0,68;0,65;0,59;0,59;0,58;0,55;0,51;0,49;0,48;0,45;0,44;0,43;0,41;0,4;0,39;0,37;150
525,57;44;0,01;0,11;0,18;0,25;0,32;0,36;0,42;0,48;0,52;0,55;0,58;0,62;0,64;0,67;0,7;0,72;0,75;0,76;0,78;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;0,86;0,71;0,73;0,72;0,67;0,6;0,57;0,54;0,5;0,48;0,45;0,44;0,42;0,4;0,39;0,39;0,38;0,37;0,36;200
525,57;44;0,02;0,1;0,19;0,27;0,33;0,36;0,42;0,45;0,48;0,51;0,53;0,57;0,59;0,61;0,64;0,68;0,7;0,73;0,75;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;1;0,79;0,78;0,7;0,68;0,65;0,6;0,56;0,54;0,51;0,48;0,48;0,46;0,44;0,43;0,41;0,4;0,39;0,38;250
525,57;44;0,02;0,11;0,2;0,26;0,33;0,39;0,43;0,47;0,51;0,54;0,56;0,61;0,63;0,66;0,69;0,71;0,75;0,77;0,78;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;1;0,81;0,77;0,7;0,68;0,62;0,6;0,55;0,53;0,51;0,48;0,46;0,44;0,43;0,42;0,4;0,38;0,37;0,36;300
525,57;44;0,02;0,11;0,2;0,26;0,33;0,38;0,43;0,46;0,51;0,54;0,57;0,59;0,61;0,65;0,68;0,7;0,71;0,72;0,74;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;0,86;0,67;0,57;0,57;0,56;0,54;0,5;0,48;0,47;0,44;0,43;0,42;0,4;0,4;0,39;0,38;0,36;0,35;0,34;100,50
525,57;44;0,02;0,09;0,15;0,22;0,27;0,33;0,37;0,4;0,45;0,48;0,51;0,54;0,56;0,62;0,64;0,65;0,67;0,7;0,71;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;0,57;0,62;0,49;0,45;0,45;0,41;0,37;0,37;0,34;0,33;0,32;0,32;0,3;0,3;0,28;0,28;0,27;0,27;0,26;150,75
525,57;44;0,01;0,09;0,13;0,16;0,22;0,24;0,26;0,3;0,32;0,35;0,37;0,41;0,42;0,45;0,45;0,48;0,5;0,51;0,54;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;0,57;0,62;0,57;0,51;0,46;0,45;0,43;0,4;0,38;0,36;0,35;0,34;0,32;0,31;0,3;0,3;0,29;0,29;0,28;200,100
525,57;44;0,01;0,09;0,14;0,19;0,22;0,27;0,31;0,34;0,36;0,39;0,41;0,44;0,46;0,48;0,5;0,53;0,55;0,58;0,59;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
525,57;44;0,57;0,48;0,46;0,42;0,41;0,41;0,37;0,36;0,34;0,32;0,32;0,33;0,32;0,31;0,31;0,3;0,29;0,29;0,28;250,125
525,57;44;0,01;0,07;0,12;0,16;0,2;0,25;0,27;0,29;0,33;0,35;0,39;0,42;0,45;0,48;0,51;0,52;0,55;0,57;0,59;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21;
536,14;46,43;0,57;0,64;0,52;0,47;0,41;0,39;0,36;0,34;0,33;0,32;0,31;0,31;0,3;0,3;0,3;0,28;0,28;0,27;0,27;300,175
536,14;46,43;0,01;0,08;0,13;0,16;0,18;0,22;0,24;0,26;0,29;0,32;0,35;0,37;0,39;0,43;0,45;0,46;0,49;0,51;0,53;
;;;;;;;;;;;;;;;;;;;;;
;;;;@10;;@20;;@30;;@40;;;;;;;;;;;
