name;country;gross;director;budget
Angels in the Outfield;United States;50200000.0; William  Dear;31000000.0
Angus;France;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;France;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;France;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;France;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;Germany;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;Germany;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;Germany;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;Germany;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United Kingdom;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United Kingdom;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United Kingdom;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United Kingdom;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United States;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United States;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United States;4800000.0; Patrick  Read  Johnson;1500000.0
Angus;United States;4800000.0; Patrick  Read  Johnson;1500000.0
Anna Karenina;United Kingdom;2196650.0; Bernard  Rose  (director);30000000.0
Anna Karenina;United Kingdom;2196650.0; Bernard  Rose  (director);30000000.0
Anna Karenina;United States;2196650.0; Bernard  Rose  (director);30000000.0
Anna Karenina;United States;2196650.0; Bernard  Rose  (director);30000000.0
Annie Hall;United States;38300000.0; Woody  Allen;4000000.0
Another Stakeout;United States;30000000.0; John  Badham;30000000.0
Antonia's Line;Netherlands;4200000.0; Marleen  Gorris;1500000.0
Aparajito;India;;Satyajit Ray;
Apocalypse Now;United States;100.0; Francis  Ford  Coppola;31000000.0
Apollo 13;United States;355200000.0; Ron  Howard;52000000.0
April Fool's Day;United States;13000000.0; Fred  Walton  (director);5000000.0
Apt Pupil;United States;8900000.0; Bryan  Singer;14000000.0
Apt Pupil;United States;8900000.0; Bryan  Singer;14000000.0
Army of Darkness;United States;21500000.0; Sam  Raimi;11000000.0
Around the World in 80 Days;United States;42000000.0; Michael  Anderson  (director);6000000.0
Arsenic and Old Lace;United States;4784000.0; Frank  Capra;1164000.0
As Good as It Gets;United States;314100000.0; James  L.  Brooks;50000000.0
Assassins;United States;83300000.0; Richard  Donner;50000000.0
Audrey Rose;United States;2000000.0; Robert  Wise;4000000.0
August;United Kingdom;;Anthony Hopkins;
August;United States;;Anthony Hopkins;
Austin Powers: International Man of Mystery;United States;67700000.0; Jay  Roach;16500000.0
Ayn Rand: A Sense of Life;United States;;Michael Paxton;
B. Monkey;United Kingdom;39371.0; Michael  Radford;
B. Monkey;United States;39371.0; Michael  Radford;
Babe;Australia;254100000.0; Chris  Noonan;30000000.0
Babe;Australia;254100000.0; Chris  Noonan;30000000.0
Babe;Australia;254100000.0; Chris  Noonan;30000000.0
Babe;Australia;254100000.0; Chris  Noonan;30000000.0
Babe;United Kingdom;254100000.0; Chris  Noonan;30000000.0
Babe;United Kingdom;254100000.0; Chris  Noonan;30000000.0
Babe;United Kingdom;254100000.0; Chris  Noonan;30000000.0
Babe;United Kingdom;254100000.0; Chris  Noonan;30000000.0
Back to the Future;United States;388800000.0; Robert  Zemeckis;19000000.0
Backbeat;Germany;2392589.0; Iain  Softley;
Backbeat;United Kingdom;2392589.0; Iain  Softley;
Bad Boys;United States;141400000.0; Michael  Bay;19000000.0
Bad Company;United States;3674841.0; Damian  Harris;
Bad Moon;Canada;1100000.0; Eric  Red;7000000.0
Bad Moon;Canada;1100000.0; Eric  Red;7000000.0
Bad Moon;United States;1100000.0; Eric  Red;7000000.0
Bad Moon;United States;1100000.0; Eric  Red;7000000.0
Bad Taste;New Zealand;;Peter Jackson;
Balto;United States;11000000.0; Simon  Wells;31000000.0
Balto;United States;11000000.0; Simon  Wells;31000000.0
Balto;United States;11000000.0; Simon  Wells;31000000.0
Balto;United States;23000000.0; Simon  Wells;31000000.0
Balto;United States;23000000.0; Simon  Wells;31000000.0
Balto;United States;23000000.0; Simon  Wells;31000000.0
Bananas;United States;11800000.0; Woody  Allen;2000000.0
Barbarella;France;5500000.0; Roger  Vadim;4.0
Barbarella;France;5500000.0; Roger  Vadim;4.0
Barbarella;France;5500000.0; Roger  Vadim;4.0
Barbarella;Italy;5500000.0; Roger  Vadim;4.0
Barbarella;Italy;5500000.0; Roger  Vadim;4.0
Barbarella;Italy;5500000.0; Roger  Vadim;4.0
Barcelona;United States;7300000.0; Whit  Stillman;3200000.0
Basic Instinct;France;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;France;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;France;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;France;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United Kingdom;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United Kingdom;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United Kingdom;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United Kingdom;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United States;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United States;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United States;352900000.0; Paul  Verhoeven;49000000.0
Basic Instinct;United States;352900000.0; Paul  Verhoeven;49000000.0
Basquiat;United States;3000000.0; Julian  Schnabel;3300000.0
Bastard Out of Carolina;United States;;Anjelica Huston;
Batman;United States;411600000.0; Tim  Burton;35.0
Batman & Robin;United States;238200000.0; Joel  Schumacher;160000000.0
Batman Forever;United States;336600000.0; Joel  Schumacher;100000000.0
Batman Returns;United States;266890000.0; Tim  Burton;65.0
Bean;United Kingdom;251200000.0; Mel  Smith;18000000.0
Bean;United Kingdom;251200000.0; Mel  Smith;18000000.0
Bean;United States;251200000.0; Mel  Smith;18000000.0
Bean;United States;251200000.0; Mel  Smith;18000000.0
Beautiful Girls;United States;10600000.0; Ted  Demme;
Beautiful Thing;United Kingdom;3072738.0;Hettie Macdonald;
Beauty and the Beast;United States;440100000.0;Gary Trousdale;25000000.0
Beauty and the Beast;United States;440100000.0;Gary Trousdale;25000000.0
Beauty and the Beast;United States;440100000.0;Gary Trousdale;25000000.0
Beauty and the Beast;United States;440100000.0;Kirk Wise;25000000.0
Beauty and the Beast;United States;440100000.0;Kirk Wise;25000000.0
Beauty and the Beast;United States;440100000.0;Kirk Wise;25000000.0
Bed of Roses;United States;27315527.0; Michael  Goldenberg;
Bedknobs and Broomsticks;United States;17900000.0; Robert  Stevenson  (director);6300000.0
Before and After;United States;8797839.0; Barbet  Schroeder;35000000.0
Before Sunrise;Austria;5500000.0; Richard  Linklater;2500000.0
Before Sunrise;Austria;5500000.0; Richard  Linklater;2500000.0
Before Sunrise;United States;5500000.0; Richard  Linklater;2500000.0
Before Sunrise;United States;5500000.0; Richard  Linklater;2500000.0
Being There;United States;30200000.0; Hal  Ashby;7000000.0
Belle de Jour;France;20200000.0; Luis  Buñuel;
Belle de Jour;Italy;20200000.0; Luis  Buñuel;
Ben-Hur;United States;146900000.0; William  Wyler;15200000.0
Benny & Joon;United States;30000000.0; Jeremiah  S.  Chechik;
Best Men;United States;5000.0;Tamra Davis;4000000.0
Best of the Best 3: No Turning Back;United States;;Phillip Rhee;
Better Off Dead;United States;10300000.0; Savage  Steve  Holland;3500000.0
Beverly Hills Cop III;United States;119200000.0; John  Landis;70000000.0
Beverly Hills Ninja;United States;31500000.0; Dennis  Dugan;18000000.0
Beyond Rangoon;United States;5750110.0; John  Boorman;23000000.0
Bhaji on the Beach;United Kingdom;735192.0; Gurinder  Chadha;
Big Bully;United States;2000000.0; Steve  Miner;15000000.0
Billy Madison;United States;26400000.0; Tamra  Davis;10000000.0
Bio-Dome;United States;13400000.0; Jason  Bloom  (director);8500000.0
Bitter Moon;France;1900000.0; Roman  Polanski;
Bitter Moon;United Kingdom;1900000.0; Roman  Polanski;
Black Beauty;United Kingdom;4600000.0; Caroline  Thompson;
Black Beauty;United States;4600000.0; Caroline  Thompson;
Black Sheep;United States;32400000.0; Penelope  Spheeris;
Blade Runner;Hong Kong;41500000.0; Ridley  Scott;30000000.0
Blade Runner;Hong Kong;41500000.0; Ridley  Scott;30000000.0
Blade Runner;United States;41500000.0; Ridley  Scott;30000000.0
Blade Runner;United States;41500000.0; Ridley  Scott;30000000.0
Blink;United States;16696219.0; Michael  Apted;11000000.0
Blood and Wine;United States;1100000.0; Bob  Rafelson;26000000.0
Blood for Dracula;France;;Paul Morrissey;
Blood for Dracula;Italy;;Paul Morrissey;
Bloodsport;United States;50000000.0; Newt  Arnold;1.5
Blown Away;United States;53000000.0; Stephen  Hopkins  (director);28000000.0
Blue Chips;United States;26000000.0; William  Friedkin;35000000.0
Blue in the Face;United States;1268636.0; Wayne  Wang;2000000.0
Blue in the Face;United States;1268636.0; Wayne  Wang;2000000.0
Blue in the Face;United States;1268636.0; Paul  Auster;2000000.0
Blue in the Face;United States;1268636.0; Paul  Auster;2000000.0
Blues Brothers 2000;United States;14051384.0; John  Landis;31000000.0
Bob Roberts;United States;4500000.0; Tim  Robbins;
Body Hammer;Japan;2550.0; Shinya  Tsukamoto;
Body Parts;United States;9200000.0; Eric  Red;10000000.0
Body Snatchers;United States;428868.0; Abel  Ferrara;13000000.0
Body Snatchers;United States;428868.0; Abel  Ferrara;13000000.0
Bogus;United States;4400000.0; Norman  Jewison;25000000.0
Bonnie and Clyde;United States;70000000.0; Arthur  Penn;2500000.0
Boogie Nights;United States;43100000.0; Paul  Thomas  Anderson;15000000.0
Boomerang;United States;131000000.0; Reginald  Hudlin;42000000.0
Booty Call;United States;20050376.0; Jeff  Pollack;7000000.0
Bordello of Blood;United States;5600000.0; Gilbert  Adler;2500000.0
